Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
245,FVFHSL0005P0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
246,FVFHSL000690001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
21,FVFHSA0006U0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
52,FVFHSL000590001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
53,FVFHSL0004M0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
83,FVFHSL000440001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
85,FVFHSL0003Z0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
109,FVFHSF0001C0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
110,FVFHSF0001E0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
129,FVFHSF0003P0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
130,FVFHSF0003W0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
160,FVFHSF0004R0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
161,FVFHSF0004Q0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
163,FVFHSF0004K0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
181,FVFHSF0002L0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
182,FVFHSF0002U0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
215,FVFHSF0003C0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
216,FVFHSF0003H0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
247,FVFHSL0005U0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
248,FVFHSL0005Q0001JYP,incoming,TC -40/85 100cycs,TC -40/85 200cycs,TC -40/85 300cycs,TC -40/85 400cycs,TC -40/85 500cycs,5N manual pull test,
57,FVFHSL0004R0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
58,FVFHSL0004V0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
97,FVFHSL000490001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
143,FVFHSF0003K0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
144,FVFHSF0003U0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
162,FVFHSF0004Z0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
176,FVFHSF0004D0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
177,FVFHSF0004L0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
206,FVFHSF0001G0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
207,FVFHSF0001Q0001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
227,FVFHSF000120001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
249,FVFHSL000640001JYP,incoming,STS 75/20 6hrs,STS 75/20 12hrs,STS 75/20 18hrs,STS 75/20 24hrs,5N manual pull test,,
